Year,LapNumber,Attacker_Driver,Defender_Driver,Attacker_Position,Attacker_LapTime,Attacker_TyreLife,Attacker_Compound,Defender_LapTime,Defender_TyreLife,Defender_Compound,Delta_LapTime,Delta_TyreLife,Compound_Advantage,Estimated_Gap,IsOvertake
2022,7.0,MAG,OCO,14.0,87.833,7.0,MEDIUM,87.642,7.0,SOFT,0.1910000000000025,0.0,-1,0.09550000000000125,0
2022,7.0,TSU,MAG,15.0,87.55,7.0,MEDIUM,87.833,7.0,MEDIUM,-0.28300000000000125,0.0,0,0.14150000000000063,1
2022,7.0,LAT,TSU,16.0,88.283,7.0,MEDIUM,87.55,7.0,MEDIUM,0.7330000000000041,0.0,0,0.36650000000000205,0
2022,7.0,HAM,LAT,17.0,87.943,7.0,MEDIUM,88.283,7.0,MEDIUM,-0.3400000000000034,0.0,0,0.1700000000000017,1
2022,7.0,MSC,PER,19.0,87.949,7.0,MEDIUM,92.185,7.0,MEDIUM,-4.236000000000004,0.0,0,2.118000000000002,1
2022,7.0,BOT,MSC,20.0,88.065,7.0,MEDIUM,87.949,7.0,MEDIUM,0.11599999999999966,0.0,0,0.05799999999999983,1
2022,8.0,VER,LEC,2.0,85.618,8.0,SOFT,85.784,8.0,SOFT,-0.16600000000001103,0.0,0,0.08300000000000551,0
2022,8.0,RUS,VER,3.0,86.273,8.0,SOFT,85.618,8.0,SOFT,0.6550000000000011,0.0,0,0.32750000000000057,0
2022,8.0,RIC,RUS,4.0,87.266,8.0,MEDIUM,86.273,8.0,SOFT,0.9930000000000092,0.0,-1,0.4965000000000046,0
2022,8.0,GAS,RIC,5.0,87.232,8.0,MEDIUM,87.266,8.0,MEDIUM,-0.034000000000006025,0.0,0,0.017000000000003013,0
2022,8.0,NOR,GAS,6.0,87.38,8.0,MEDIUM,87.232,8.0,MEDIUM,0.14799999999999613,0.0,0,0.07399999999999807,0
2022,8.0,ALO,NOR,7.0,87.415,8.0,MEDIUM,87.38,8.0,MEDIUM,0.0350000000000108,0.0,0,0.0175000000000054,0
2022,8.0,DEV,ALO,8.0,87.328,8.0,SOFT,87.415,8.0,MEDIUM,-0.0870000000000033,0.0,1,0.04350000000000165,0
2022,8.0,SAI,DEV,9.0,86.592,8.0,MEDIUM,87.328,8.0,SOFT,-0.7360000000000042,0.0,-1,0.3680000000000021,1
2022,8.0,ZHO,SAI,10.0,87.953,8.0,MEDIUM,86.592,8.0,MEDIUM,1.3610000000000042,0.0,0,0.6805000000000021,0
2022,8.0,STR,ZHO,11.0,87.783,9.0,MEDIUM,87.953,8.0,MEDIUM,-0.1700000000000017,1.0,0,0.08500000000000085,0
